Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
20.76 , 55 , 18 , 32.4 , 560.055 , 3 , 6
21.0581 , 54 , 18 , 32.4 , 557.871 , 3 , 6
18.85 , 52 , 15 , 32.4 , 556.173 , 5 , 6
18.92 , 52 , 15 , 32.4 , 555.304 , 5 , 6
18.85 , 53 , 15 , 31.2 , 564.173 , 5 , 6
18.85 , 53 , 15 , 31.8 , 558.173 , 5 , 6
23.7263 , 58 , 18 , 32.4 , 449.66 , 3 , 6
21.2467 , 52 , 15 , 32.4 , 441.375 , 5 , 6
21.2359 , 52 , 15 , 32.4 , 444.091 , 5 , 6
21.4359 , 52 , 15 , 32.4 , 441.091 , 5 , 6
19.17 , 54 , 15 , 31.2 , 513.443 , 5 , 6
27.4907 , 48 , 16 , 39 , 425.917 , 6 , 7
24.44 , 48 , 16 , 39 , 543.464 , 6 , 7
21.37 , 63 , 17 , 32.4 , 588.494 , 4 , 7
24.37 , 48 , 16 , 39 , 552.332 , 6 , 7
21.56 , 66 , 17 , 32.4 , 550.297 , 4 , 7
21.43 , 63 , 17 , 32.4 , 580.83 , 4 , 7
21.43 , 64 , 17 , 32.4 , 576.83 , 4 , 7
21.56 , 64 , 17 , 32.4 , 558.297 , 4 , 7
21.56 , 65 , 17 , 32.4 , 554.297 , 4 , 7
27.5398 , 48 , 16 , 39 , 422.666 , 6 , 7
27.4975 , 48 , 16 , 39 , 423.797 , 6 , 7
21.36 , 64 , 17 , 33.3 , 540.24 , 4 , 7
21.4022 , 61 , 17 , 33.3 , 549.109 , 4 , 7
21.2822 , 61 , 17 , 33 , 572.437 , 4 , 7
22.01 , 68 , 17 , 32.4 , 571.251 , 3 , 7
21.76 , 68 , 17 , 32.4 , 599.112 , 3 , 7
21.89 , 68 , 17 , 32.4 , 580.579 , 3 , 7
22.24 , 65 , 17 , 32.4 , 574.469 , 3 , 7
22.17 , 65 , 17 , 32.4 , 583.337 , 3 , 7
21.16 , 60 , 17 , 33 , 590.25 , 4 , 7
21.17 , 61 , 17 , 33 , 578.437 , 4 , 7
21.17 , 60 , 17 , 33 , 580.437 , 4 , 7
23.0722 , 70 , 17 , 32.4 , 535.76 , 3 , 7
22.3522 , 68 , 17 , 32.4 , 555.263 , 3 , 7
22.4322 , 68 , 17 , 32.4 , 552.086 , 3 , 7
22.1322 , 70 , 17 , 32.4 , 552.943 , 3 , 7
23.0503 , 70 , 17 , 32.4 , 540.584 , 3 , 7
22.8522 , 70 , 17 , 32.4 , 540.92 , 3 , 7
22.0522 , 70 , 17 , 32.4 , 554.12 , 3 , 7
25.6521 , 65 , 17 , 32.4 , 476.455 , 3 , 7
