Obj1,Obj2
0.59166,0.15079
0.59319,0.15001
0.59451,0.14918
0.59615,0.14851
0.59747,0.14758
0.59876,0.14678
0.60043,0.146
0.60212,0.14523
0.60359,0.14441
0.60517,0.1436
0.60679,0.14285
0.60825,0.14201
0.60928,0.14108
0.61141,0.14037
0.61286,0.13958
0.61419,0.13863
0.61556,0.13791
0.61741,0.1371
0.61883,0.13632
0.62034,0.13547
0.62188,0.13461
0.6239,0.13383
0.62509,0.13301
0.62681,0.13217
0.62851,0.13137
0.62964,0.13044
0.63117,0.12968
0.63286,0.12882
0.63434,0.12792
0.63633,0.12722
0.63799,0.12636
0.63949,0.12549
0.64125,0.12468
0.64262,0.12376
0.6441,0.123
0.64598,0.1222
0.64792,0.12133
0.64934,0.12045
0.65105,0.11965
0.65242,0.11875
0.65484,0.11801
0.65596,0.11706
0.65791,0.11626
0.65926,0.11536
0.66087,0.11456
0.66298,0.11371
0.66469,0.11284
0.66652,0.11207
0.6684,0.11116
0.67005,0.11035
0.67166,0.10947
0.67381,0.10863
0.67561,0.10783
0.67743,0.10696
0.67918,0.10614
0.68103,0.10526
0.68286,0.10442
0.68501,0.10353
0.68679,0.10267
0.6887,0.10186
0.69065,0.10097
0.69238,0.10011
0.69441,0.099286
0.69646,0.09839
0.69836,0.097551
0.70023,0.096731
0.7026,0.095767
0.70442,0.094882
0.70635,0.094017
0.70851,0.093171
0.71017,0.09236
0.71259,0.091399
0.71432,0.090571
0.71638,0.089687
0.71897,0.0888
0.72093,0.087972
0.72234,0.087074
0.72463,0.086096
0.72694,0.085186
0.72884,0.084394
0.73109,0.083394
0.73346,0.082528
0.73537,0.081678
0.73713,0.080832
0.73968,0.079863
0.74228,0.078992
0.74414,0.078034
0.74639,0.077137
0.74882,0.076243
0.75095,0.07533
0.75345,0.074404
0.75532,0.073529
0.75794,0.072556
0.76037,0.071657
0.76279,0.070763
0.76527,0.069825
0.76765,0.068917
0.77055,0.068024
0.77251,0.067008
0.77493,0.066115
0.77717,0.065273
0.77993,0.064253
0.7824,0.063308
0.78492,0.062486
0.78792,0.061473
0.79026,0.060472
0.79288,0.059563
0.79535,0.058601
