Obj1,Obj2,Obj3,Obj4,Obj5,Obj6
1028.8920942,75718.5814312,31.3127986,113.7387930,0.0209076,93.0805142,
1568.6001596,75721.4987131,29.4563240,138.5682865,0.0275853,122.8097122,
1540.8131464,75721.8817288,29.4876510,137.3121808,0.0273224,121.6394402,
1459.3575927,75721.5355211,29.5312307,131.6542512,0.0263322,117.2309951,
1564.6547571,75721.7426158,29.4507779,138.5040869,0.0275536,122.6684725,
1550.3447398,75721.8201569,29.4727291,137.7573749,0.0274144,122.0487832,
1715.4757682,75717.8047270,28.9807898,147.1130212,0.0280419,124.8425555,
1567.6494278,65389.6433255,29.5087092,139.6439285,0.0277320,123.4626938,
1231.5664347,94584.6001682,28.3705983,112.3939662,0.0219453,97.7003145,
1332.3302798,91890.1965464,28.5587944,120.2382733,0.0234232,104.2800683,
1321.4871185,94585.4260850,27.9625589,122.4928496,0.0231724,103.1635178,
120.2415185,124222.8635779,4.7293251,63.3315801,0.0056178,25.0105299,
124.5701872,124221.8934790,4.6227739,61.9784963,0.0053496,23.8162976,
108.8111384,124226.1418651,5.6050021,70.1771344,0.0072455,32.2571370,
128.3326811,124221.1943507,4.5507712,61.6947879,0.0051653,22.9960983,
112.2731792,124224.6207697,4.9554515,68.4839273,0.0061008,27.1606526,
2259.9413557,27226.1153603,28.6970977,253.8005085,0.0514176,228.9112687,
3305.3203505,9261.9868883,33.7023791,293.7645774,0.0628607,279.8556833,
3185.4012660,9262.2836058,33.6596944,294.9199074,0.0621345,276.6228067,
3189.4789275,6566.6702571,34.0974084,290.1404221,0.0620788,276.3748805,
1182.8282127,98180.3851200,28.5236586,115.2439276,0.0224754,100.0605313,
658.9417169,100882.0505321,32.8881320,110.6596228,0.0227324,101.2048254,
1032.8695513,100877.7551578,28.6371383,111.0818876,0.0222286,98.9618880,
1039.8023529,100876.3481084,28.4343298,108.7302925,0.0218343,97.2064799,
1034.5366105,100877.4742573,28.5821512,110.4550489,0.0221425,98.5785230,
671.6027520,100879.8648204,32.5460661,105.3719719,0.0221581,98.6478818,
370.0715545,109420.4990420,3179.4567542,129.1564640,0.0233107,103.7794239,
384.9525867,108971.0848769,34.8871806,127.8883073,0.0232911,103.6921579,
384.5862787,108971.0909378,35.1153583,127.9119220,0.0232934,103.7019943,
389.2081918,108971.1526871,34.2236963,128.0244073,0.0233807,104.0906557,
372.1186530,108071.7913935,2735.4846527,124.6443242,0.0226866,101.0005322,
706.7383547,99984.7430383,33.8933039,114.2827028,0.0241153,107.3611122,
230.2297142,117732.2762485,51.1621248,138.0448163,0.0230009,102.4000666,
212.9902464,117945.1069410,22.5020880,90.8509635,0.0147877,65.8348655,
189.9784145,119292.9629126,25.3349716,92.6120069,0.0147584,65.7042188,
196.1179872,118394.1788590,21.3371401,90.8408472,0.0145451,64.7546338,
196.5143252,118394.1815040,21.1996699,90.8372185,0.0145503,64.7780897,
